Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2019-12-04,7299.2,7299.2,7299.19,7299.19,0.01329328,97.0302249522,7299.193649137
2019-12-03,7317.94,7415.0,7238.04,7300.43,2552.20229834,18683808.384018,7320.6612172436
2019-12-02,7411.75,7431.07,7140.08,7309.64,4324.30016255,31520978.016632,7289.2668944712
2019-12-01,7560.2,7560.2,7233.87,7412.66,5477.97290774,40318302.9446,7360.0770985254
2019-11-30,7753.69,7815.0,7452.08,7550.67,5446.27351349,41571365.443102,7632.9926031319
2019-11-29,7429.32,7870.35,7411.17,7753.69,7658.87160206,58602440.283675,7651.5762802333
2019-11-28,7517.82,7659.92,7372.19,7436.72,6925.58489749,52090533.131563,7521.463371338
2019-11-27,7168.74,7676.27,6847.72,7527.84,15156.9919345,110349122.50872,7280.4104525216
2019-11-26,7127.12,7344.91,7018.78,7159.22,7643.84956815,54566242.208836,7138.5813813239
2019-11-25,6900.9,7380.0,6515.0,7122.14,18716.60131311,129366591.35888,6911.863387733
2019-11-24,7330.98,7349.68,6861.96,6908.36,6047.01776023,42914524.551922,7096.80808847
2019-11-23,7276.21,7356.49,7102.16,7320.39,5550.47222776,40106431.409054,7225.7692252682
2019-11-22,7612.23,7714.7,6785.0,7285.85,20120.14646602,144885449.40783,7201.0136532815
2019-11-21,8085.54,8116.92,7394.09,7611.51,9374.99957046,72431853.922444,7726.0647723838
2019-11-20,8124.08,8231.04,8027.28,8088.44,2996.00619203,24265795.692426,8099.3810216341
2019-11-19,8176.9,8197.77,7989.15,8121.63,4412.39464174,35731334.204856,8097.9461507925
2019-11-18,8499.53,8508.4,8010.7,8170.65,4825.65562506,40088282.10719,8307.3234440951
2019-11-17,8485.61,8631.6,8375.0,8499.31,2074.00770126,17668226.912748,8518.8820186223
2019-11-16,8459.38,8539.53,8423.0,8484.63,1180.57339029,10004652.278465,8474.4009654555
2019-11-15,8632.07,8799.03,8363.0,8463.49,5213.70141434,44596817.587135,8553.772846384
2019-11-14,8765.53,8791.78,8555.0,8636.9,3412.80581524,29480031.555601,8638.0629756189
2019-11-13,8817.0,8839.46,8700.0,8755.24,3185.82098874,27877490.136393,8750.4885663456
2019-11-12,8720.36,8872.47,8549.0,8813.91,4721.90610684,41173319.735119,8719.6396547312
2019-11-11,9029.88,9075.32,8593.0,8720.36,6392.97505953,55913644.287534,8746.1070576498
2019-11-10,8806.85,9142.33,8750.85,9024.49,2663.27825012,23900855.54209,8974.223981671
2019-11-09,8760.38,8876.94,8720.0,8812.21,2271.51792167,20011709.541787,8809.8400417088
2019-11-08,9209.3,9253.39,8661.0,8767.37,9699.74677043,86368731.972746,8904.225441848
2019-11-07,9346.02,9373.48,9080.0,9199.36,3975.97661681,36653215.870635,9218.6698774006
2019-11-06,9319.1,9448.19,9254.68,9344.78,4670.23465673,43617190.043001,9339.4001049063
2019-11-05,9410.76,9485.0,9165.2,9320.14,4979.57899177,46449230.61298,9327.9433240741
2019-11-04,9207.0,9586.5,9122.33,9410.76,4962.44231548,46348340.769898,9339.8245910723
2019-11-03,9304.75,9384.32,9067.0,9207.0,2539.21833111,23311544.33509,9180.5986312725
2019-11-02,9250.7,9396.91,9201.19,9304.75,2701.13696278,25075118.408939,9283.1717733897
2019-11-01,9158.08,9303.53,9054.6,9250.45,6640.55238456,60832091.537001,9160.6974863179
2019-10-31,9169.55,9438.61,8961.53,9150.07,10113.15940929,92792853.945449,9175.4564711211
2019-10-30,9426.94,9437.06,8985.25,9159.94,8814.43804818,80752701.084075,9161.412292273
2019-10-29,9216.39,9573.35,9051.48,9426.94,9059.61157854,85007062.386999,9383.0802402567
2019-10-28,9547.32,9950.0,9177.84,9216.44,14722.01859796,139923976.27999,9504.4015430994
2019-10-27,9262.72,9819.92,9092.66,9557.08,17783.02515594,169009332.26185,9503.969700307
2019-10-26,8677.09,10350.0,8642.46,9252.75,38751.80025476,364431123.24832,9404.2372445278
2019-10-25,7427.0,8784.29,7393.14,8662.66,19113.79549622,157079122.09954,8218.1020577837
2019-10-24,7470.77,7512.0,7356.0,7435.0,4997.4230935,37210305.425471,7445.8985619746
2019-10-23,8021.57,8052.04,7293.55,7470.77,13306.18266092,100801574.41861,7575.5441652445
2019-10-22,8206.53,8314.77,7989.15,8025.9,5678.93483059,46474242.555902,8183.6196297878
2019-10-21,8236.49,8352.0,8156.0,8213.65,4919.73416831,40461008.135502,8224.2265031569
2019-10-20,7965.39,8314.77,7874.68,8235.74,6358.92499072,51422182.223602,8086.6156305737
2019-10-19,7950.48,8096.76,7875.0,7960.49,3461.12529207,27557421.104747,7961.983106444
2019-10-18,8069.26,8120.77,7811.62,7955.08,5611.09353737,44500999.582116,7930.8960518549
